Force (N),Displacement (cm),Angular Deflection (deg.)
0.0,-0.0,-0.0
0.005000500050005001,-0.04005590578217123,-2.3432152842276968
0.010001000100010001,-0.08011181156434247,-4.6864305684553935
0.015001500150015001,-0.1201677173465137,-7.029645852683089
0.020002000200020003,-0.16022362312868493,-9.372861136910787
0.025002500250025005,-0.20027952891085615,-11.716076421138485
0.030003000300030003,-0.2403354346930274,-14.059291705366178
0.03500350035003501,-0.28039134047519865,-16.402506989593878
0.040004000400040006,-0.32044724625736987,-18.745722273821574
0.045004500450045004,-0.3605031520395411,-21.08893755804927
0.05000500050005001,-0.4005590578217123,-23.43215284227697
0.05500550055005501,-0.4406149636038835,-25.775368126504663
0.060006000600060005,-0.4806708693860548,-28.118583410732356
0.06500650065006501,-0.5207267751682261,-30.461798694960056
0.07000700070007002,-0.5607826809503973,-32.805013979187756
0.075007500750075,-0.6008385867325684,-35.148229263415445
0.08000800080008001,-0.6408944925147397,-37.49144454764315
0.08500850085008502,-0.680950398296911,-39.834659831870844
0.09000900090009001,-0.7210063040790822,-42.17787511609854
0.09500950095009501,-0.7610622098612533,-44.52109040032624
0.10001000100010002,-0.8011181156434246,-46.86430568455394
0.10501050105010501,-0.8411740214255957,-49.20752096878163
0.11001100110011001,-0.881229927207767,-51.550736253009326
0.11501150115011502,-0.9212858329899383,-53.89395153723702
0.12001200120012001,-0.9613417387721096,-56.23716682146471
0.12501250125012503,-1.001397644554281,-58.58038210569242
0.13001300130013002,-1.0414535503364521,-60.92359738992011
0.135013501350135,-1.081509456118623,-63.26681267414781
0.14001400140014003,-1.1215653619007946,-65.61002795837551
0.14501450145014502,-1.1616212676829658,-67.95324324260321
0.15001500150015,-1.2016771734651368,-70.29645852683089
0.15501550155015503,-1.2417330792473082,-72.6396738110586
0.16001600160016002,-1.2817889850294795,-74.9828890952863
0.16501650165016502,-1.3218448908116505,-77.32610437951399
0.17001700170017003,-1.361900796593822,-79.66931966374169
0.17501750175017503,-1.4019567023759931,-82.0125349479694
0.18001800180018002,-1.4420126081581643,-84.35575023219708
0.18501850185018504,-1.4820685139403356,-86.69896551642478
0.19001900190019003,-1.5221244197225066,-89.04218080065247
0.19501950195019502,-1.562180325504678,-91.38539608488017
0.20002000200020004,-1.6022362312868492,-93.72861136910788
0.20502050205020503,-1.6422921370690204,-96.07182665333555
0.21002100210021002,-1.6823480428511914,-98.41504193756326
0.21502150215021504,-1.7224039486333629,-100.75825722179096
0.22002200220022003,-1.762459854415534,-103.10147250601865
0.22502250225022502,-1.802515760197705,-105.44468779024636
0.23002300230023004,-1.8425716659798765,-107.78790307447404
0.23502350235023503,-1.882627571762048,-110.13111835870174
0.24002400240024002,-1.9226834775442192,-112.47433364292942
0.24502450245024504,-1.9627393833263902,-114.81754892715715
0.25002500250025006,-2.002795289108562,-117.16076421138484
0.255025502550255,-2.0428511948907326,-119.50397949561251
0.26002600260026004,-2.0829071006729043,-121.84719477984022
0.26502650265026506,-2.122963006455075,-124.19041006406793
0.27002700270027,-2.163018912237246,-126.53362534829562
0.27502750275027504,-2.203074818019418,-128.8768406325233
0.28002800280028006,-2.243130723801589,-131.22005591675102
0.285028502850285,-2.28318662958376,-133.56327120097868
0.29002900290029004,-2.3232425353659316,-135.90648648520641
0.29502950295029506,-2.3632984411481024,-138.2497017694341
0.3000300030003,-2.4033543469302736,-140.59291705366178
0.30503050305030505,-2.4434102527124453,-142.93613233788952
0.31003100310031007,-2.4834661584946165,-145.2793476221172
0.31503150315031503,-2.5235220642767877,-147.62256290634488
0.32003200320032005,-2.563577970058959,-149.9657781905726
0.32503250325032507,-2.6036338758411297,-152.3089934748003
0.33003300330033003,-2.643689781623301,-154.65220875902799
0.33503350335033505,-2.6837456874054726,-156.9954240432557
0.34003400340034007,-2.723801593187644,-159.33863932748338
0.34503450345034503,-2.7638574989698146,-161.68185461171106
0.35003500350035005,-2.8039134047519862,-164.0250698959388
0.35503550355035507,-2.8439693105341575,-166.36828518016645
0.36003600360036003,-2.8840252163163287,-168.71150046439416
0.36503650365036505,-2.9240811220985,-171.05471574862185
0.37003700370037007,-2.964137027880671,-173.39793103284956
0.37503750375037503,-3.0041929336628423,-175.74114631707724
0.38003800380038005,-3.044248839445013,-178.08436160130495
0.38503850385038507,-3.0843047452271852,-180.42757688553266
0.39003900390039004,-3.124360651009356,-182.77079216976034
0.39503950395039505,-3.1644165567915272,-185.11400745398802
0.4000400040004001,-3.2044724625736984,-187.45722273821576
0.40504050405040504,-3.244528368355869,-189.80043802244342
0.41004100410041006,-3.284584274138041,-192.1436533066711
0.4150415041504151,-3.324640179920212,-194.4868685908988
0.42004200420042004,-3.364696085702383,-196.83008387512652
0.42504250425042506,-3.4047519914845545,-199.1732991593542
0.4300430043004301,-3.4448078972667258,-201.5165144435819
0.43504350435043504,-3.4848638030488965,-203.85972972780962
0.44004400440044006,-3.524919708831068,-206.2029450120373
0.4450445044504451,-3.5649756146132394,-208.54616029626501
0.45004500450045004,-3.60503152039541,-210.88937558049273
0.45504550455045506,-3.645087426177582,-213.2325908647204
0.4600460046004601,-3.685143331959753,-215.5758061489481
0.46504650465046504,-3.725199237741924,-217.91902143317574
0.47004700470047006,-3.765255143524096,-220.26223671740348
0.4750475047504751,-3.8053110493062667,-222.6054520016312
0.48004800480048004,-3.8453669550884384,-224.94866728585885
0.48504850485048506,-3.8854228608706096,-227.29188257008659
0.4900490049004901,-3.9254787666527804,-229.6350978543143
0.4950495049504951,-3.9655346724349525,-231.97831313854198
