Force (N),Displacement (cm),Angular Deflection (deg.)
0.0,-0.0,-0.0
0.005000500050005001,-0.01914210112859529,-1.1197865348665048
0.010001000100010001,-0.03828420225719058,-2.2395730697330096
0.015001500150015001,-0.05742630338578586,-3.3593596045995144
0.020002000200020003,-0.07656840451438116,-4.479146139466019
0.025002500250025005,-0.09571050564297645,-5.598932674332525
0.030003000300030003,-0.11485260677157172,-6.718719209199029
0.03500350035003501,-0.13399470790016701,-7.838505744065535
0.040004000400040006,-0.1531368090287623,-8.958292278932038
0.045004500450045004,-0.17227891015735758,-10.078078813798545
0.05000500050005001,-0.1914210112859529,-11.19786534866505
0.05500550055005501,-0.21056311241454817,-12.317651883531553
0.060006000600060005,-0.22970521354314344,-13.437438418398058
0.06500650065006501,-0.24884731467173876,-14.557224953264564
0.07000700070007002,-0.26798941580033403,-15.67701148813107
0.075007500750075,-0.2871315169289293,-16.796798022997574
0.08000800080008001,-0.3062736180575246,-17.916584557864077
0.08500850085008502,-0.3254157191861199,-19.036371092730583
0.09000900090009001,-0.34455782031471516,-20.15615762759709
0.09500950095009501,-0.3636999214433104,-21.275944162463595
0.10001000100010002,-0.3828420225719058,-22.3957306973301
0.10501050105010501,-0.401984123700501,-23.515517232196604
0.11001100110011001,-0.42112622482909634,-24.635303767063107
0.11501150115011502,-0.44026832595769155,-25.755090301929616
0.12001200120012001,-0.4594104270862869,-26.874876836796115
0.12501250125012503,-0.4785525282148822,-27.994663371662625
0.13001300130013002,-0.4976946293434775,-29.114449906529128
0.135013501350135,-0.5168367304720727,-30.234236441395634
0.14001400140014003,-0.5359788316006681,-31.35402297626214
0.14501450145014502,-0.5551209327292633,-32.47380951112864
0.15001500150015,-0.5742630338578586,-33.59359604599515
0.15501550155015503,-0.593405134986454,-34.713382580861655
0.16001600160016002,-0.6125472361150492,-35.833169115728154
0.16501650165016502,-0.6316893372436444,-36.95295565059467
0.17001700170017003,-0.6508314383722398,-38.072742185461166
0.17501750175017503,-0.669973539500835,-39.19252872032767
0.18001800180018002,-0.6891156406294303,-40.31231525519418
0.18501850185018504,-0.7082577417580257,-41.43210179006069
0.19001900190019003,-0.7273998428866209,-42.55188832492719
0.19501950195019502,-0.7465419440152162,-43.67167485979369
0.20002000200020004,-0.7656840451438116,-44.7914613946602
0.20502050205020503,-0.7848261462724068,-45.9112479295267
0.21002100210021002,-0.803968247401002,-47.03103446439321
0.21502150215021504,-0.8231103485295975,-48.150820999259714
0.22002200220022003,-0.8422524496581927,-49.27060753412621
0.22502250225022502,-0.861394550786788,-50.39039406899273
0.23002300230023004,-0.8805366519153831,-51.51018060385923
0.23502350235023503,-0.8996787530439785,-52.62996713872573
0.24002400240024002,-0.9188208541725738,-53.74975367359223
0.24502450245024504,-0.937962955301169,-54.86954020845875
0.25002500250025006,-0.9571050564297644,-55.98932674332525
0.255025502550255,-0.9762471575583597,-57.10911327819175
0.26002600260026004,-0.995389258686955,-58.228899813058256
0.26502650265026506,-1.0145313598155503,-59.348686347924776
0.27002700270027,-1.0336734609441454,-60.46847288279127
0.27502750275027504,-1.0528155620727409,-61.588259417657774
0.28002800280028006,-1.0719576632013361,-62.70804595252428
0.285028502850285,-1.0910997643299314,-63.82783248739077
0.29002900290029004,-1.1102418654585267,-64.94761902225729
0.29502950295029506,-1.129383966587122,-66.06740555712379
0.3000300030003,-1.1485260677157172,-67.1871920919903
0.30503050305030505,-1.1676681688443125,-68.3069786268568
0.31003100310031007,-1.186810269972908,-69.42676516172331
0.31503150315031503,-1.205952371101503,-70.54655169658982
0.32003200320032005,-1.2250944722300985,-71.66633823145631
0.32503250325032507,-1.2442365733586935,-72.78612476632283
0.33003300330033003,-1.2633786744872888,-73.90591130118933
0.33503350335033505,-1.2825207756158843,-75.02569783605583
0.34003400340034007,-1.3016628767444796,-76.14548437092233
0.34503450345034503,-1.3208049778730748,-77.26527090578884
0.35003500350035005,-1.33994707900167,-78.38505744065534
0.35503550355035507,-1.3590891801302656,-79.50484397552185
0.36003600360036003,-1.3782312812588606,-80.62463051038836
0.36503650365036505,-1.3973733823874561,-81.74441704525485
0.37003700370037007,-1.4165154835160514,-82.86420358012138
0.37503750375037503,-1.4356575846446464,-83.98399011498786
0.38003800380038005,-1.4547996857732417,-85.10377664985438
0.38503850385038507,-1.4739417869018372,-86.2235631847209
0.39003900390039004,-1.4930838880304325,-87.34334971958738
0.39503950395039505,-1.5122259891590277,-88.46313625445389
0.4000400040004001,-1.5313680902876232,-89.5829227893204
0.40504050405040504,-1.5505101914162185,-90.7027093241869
0.41004100410041006,-1.5696522925448135,-91.8224958590534
0.4150415041504151,-1.588794393673409,-92.9422823939199
0.42004200420042004,-1.607936494802004,-94.06206892878642
0.42504250425042506,-1.6270785959305996,-95.18185546365291
0.4300430043004301,-1.646220697059195,-96.30164199851943
0.43504350435043504,-1.6653627981877899,-97.42142853338594
0.44004400440044006,-1.6845048993163854,-98.54121506825243
0.4450445044504451,-1.7036470004449806,-99.66100160311895
0.45004500450045004,-1.722789101573576,-100.78078813798545
0.45504550455045506,-1.7419312027021712,-101.90057467285195
0.4600460046004601,-1.7610733038307662,-103.02036120771847
0.46504650465046504,-1.7802154049593617,-104.14014774258494
0.47004700470047006,-1.799357506087957,-105.25993427745146
0.4750475047504751,-1.8184996072165522,-106.37972081231798
0.48004800480048004,-1.8376417083451475,-107.49950734718446
0.48504850485048506,-1.856783809473743,-108.61929388205098
0.4900490049004901,-1.875925910602338,-109.7390804169175
0.4950495049504951,-1.8950680117309338,-110.858866951784
0.5000500050005001,-1.9142101128595288,-111.9786534866505
0.5050505050505051,-1.933352213988124,-113.098440021517
0.51005100510051,-1.9524943151167193,-114.2182265563835
0.5150515051505151,-1.9716364162453148,-115.33801309125003
0.5200520052005201,-1.99077851737391,-116.45779962611651
0.525052505250525,-2.0099206185025054,-117.57758616098302
0.5300530053005301,-2.0290627196311006,-118.69737269584955
0.5350535053505351,-2.048204820759696,-119.81715923071603
0.54005400540054,-2.0673469218882907,-120.93694576558254
0.5450545054505451,-2.086489023016887,-122.05673230044906
0.5500550055005501,-2.1056311241454817,-123.17651883531555
0.555055505550555,-2.124773225274077,-124.29630537018204
0.5600560056005601,-2.1439153264026722,-125.41609190504856
0.5650565056505651,-2.1630574275312675,-126.53587843991507
0.57005700570057,-2.1821995286598628,-127.65566497478154
0.5750575057505751,-2.201341629788458,-128.77545150964806
0.5800580058005801,-2.2204837309170533,-129.89523804451457
0.585058505850585,-2.2396258320456486,-131.01502457938108
0.5900590059005901,-2.258767933174244,-132.13481111424758
0.5950595059505951,-2.277910034302839,-133.2545976491141
0.6000600060006,-2.2970521354314344,-134.3743841839806
0.6050605060506051,-2.3161942365600297,-135.4941707188471
0.6100610061006101,-2.335336337688625,-136.6139572537136
0.6150615061506151,-2.35447843881722,-137.7337437885801
0.6200620062006201,-2.373620539945816,-138.85353032344662
0.6250625062506251,-2.3927626410744107,-139.9733168583131
0.6300630063006301,-2.411904742203006,-141.09310339317963
0.6350635063506351,-2.4310468433316017,-142.21288992804614
0.6400640064006401,-2.450188944460197,-143.33267646291262
0.6450645064506451,-2.4693310455887922,-144.45246299777915
0.6500650065006501,-2.488473146717387,-145.57224953264566
0.6550655065506551,-2.5076152478459823,-146.69203606751213
0.6600660066006601,-2.5267573489745776,-147.81182260237867
0.6650665066506651,-2.5458994501031738,-148.93160913724515
0.6700670067006701,-2.5650415512317686,-150.05139567211165
0.6750675067506751,-2.584183652360364,-151.17118220697816
0.6800680068006801,-2.603325753488959,-152.29096874184467
0.6850685068506851,-2.6224678546175544,-153.41075527671117
0.6900690069006901,-2.6416099557461497,-154.53054181157768
0.6950695069506951,-2.660752056874745,-155.65032834644418
0.7000700070007001,-2.67989415800334,-156.7701148813107
0.7050705070507051,-2.6990362591319355,-157.8899014161772
0.7100710071007101,-2.718178360260531,-159.0096879510437
0.7150715071507151,-2.7373204613891264,-160.1294744859102
0.7200720072007201,-2.7564625625177213,-161.24926102077671
0.7250725072507251,-2.775604663646317,-162.36904755564322
0.7300730073007301,-2.7947467647749122,-163.4888340905097
0.7350735073507351,-2.813888865903507,-164.60862062537623
0.7400740074007401,-2.8330309670321028,-165.72840716024277
0.7450745074507451,-2.8521730681606976,-166.84819369510922
0.7500750075007501,-2.871315169289293,-167.96798022997572
0.7550755075507551,-2.890457270417889,-169.08776676484223
0.7600760076007601,-2.9095993715464834,-170.20755329970876
0.7650765076507651,-2.9287414726750787,-171.32733983457527
0.7700770077007701,-2.9478835738036744,-172.4471263694418
0.7750775077507751,-2.9670256749322697,-173.56691290430825
0.7800780078007801,-2.986167776060865,-174.68669943917476
0.7850785078507851,-3.00530987718946,-175.8064859740413
0.7900790079007901,-3.0244519783180555,-176.92627250890777
0.7950795079507951,-3.0435940794466503,-178.0460590437743
0.8000800080008001,-3.0627361805752464,-179.1658455786408
0.8050805080508051,-3.0818782817038417,-180.2856321135073
0.8100810081008101,-3.101020382832437,-181.4054186483738
0.8150815081508151,-3.120162483961032,-182.52520518324033
0.8200820082008201,-3.139304585089627,-183.6449917181068
0.8250825082508251,-3.158446686218222,-184.76477825297331
0.8300830083008301,-3.177588787346818,-185.8845647878398
0.8350835083508351,-3.196730888475413,-187.00435132270633
0.8400840084008401,-3.215872989604008,-188.12413785757283
0.8450845084508452,-3.2350150907326034,-189.24392439243937
0.8500850085008501,-3.254157191861199,-190.36371092730582
0.8550855085508551,-3.273299292989794,-191.48349746217232
0.8600860086008602,-3.29244139411839,-192.60328399703886
0.8650865086508651,-3.3115834952469845,-193.72307053190536
0.8700870087008701,-3.3307255963755797,-194.84285706677187
0.8750875087508752,-3.3498676975041755,-195.9626436016384
0.8800880088008801,-3.3690097986327707,-197.08243013650485
0.8850885088508851,-3.3881518997613655,-198.20221667137136
0.8900890089008902,-3.4072940008899613,-199.3220032062379
0.8950895089508951,-3.426436102018556,-200.44178974110437
0.9000900090009001,-3.445578203147152,-201.5615762759709
0.9050905090509052,-3.464720304275747,-202.6813628108374
0.9100910091009101,-3.4838624054043423,-203.8011493457039
0.9150915091509151,-3.5030045065329376,-204.9209358805704
0.9200920092009202,-3.5221466076615324,-206.04072241543693
0.9250925092509251,-3.541288708790128,-207.1605089503034
0.9300930093009301,-3.5604308099187234,-208.2802954851699
0.9350935093509352,-3.579572911047319,-209.40008202003642
0.9400940094009401,-3.598715012175914,-210.51986855490293
0.9450945094509451,-3.6178571133045097,-211.63965508976943
0.9500950095009502,-3.6369992144331045,-212.75944162463597
0.9550955095509551,-3.6561413155616997,-213.87922815950242
0.9600960096009601,-3.675283416690295,-214.99901469436892
0.9650965096509652,-3.694425517818891,-216.11880122923546
0.9700970097009701,-3.713567618947486,-217.23858776410196
0.9750975097509752,-3.7327097200760813,-218.35837429896847
0.9800980098009802,-3.751851821204676,-219.478160833835
0.9850985098509851,-3.770993922333272,-220.59794736870145
0.9900990099009902,-3.7901360234618675,-221.717733903568
0.9950995099509952,-3.8092781245904628,-222.8375204384345
1.0001000100010002,-3.8284202257190576,-223.957306973301
1.005100510051005,-3.8475623268476524,-225.0770935081675
1.0101010101010102,-3.866704427976248,-226.196880043034
1.0151015101510152,-3.885846529104844,-227.3166665779005
1.02010201020102,-3.9049886302334387,-228.436453112767
1.0251025102510252,-3.924130731362034,-229.55623964763353
1.0301030103010302,-3.9432728324906297,-230.67602618250007
1.035103510351035,-3.9624149336192245,-231.7958127173665
1.0401040104010402,-3.98155703474782,-232.91559925223302
1.0451045104510452,-4.000699135876415,-234.03538578709953
1.05010501050105,-4.019841237005011,-235.15517232196603
1.0551055105510552,-4.0389833381336055,-236.27495885683257
1.0601060106010602,-4.058125439262201,-237.3947453916991
1.065106510651065,-4.077267540390796,-238.51453192656552
1.0701070107010702,-4.096409641519392,-239.63431846143206
1.0751075107510752,-4.115551742647987,-240.7541049962986
1.08010801080108,-4.1346938437765814,-241.87389153116507
