Force (N),Displacement (cm),Angular Deflection (deg.)
0.0,-0.0,-0.0
0.005000500050005001,-0.01970911727164096,-1.1529561977874674
0.010001000100010001,-0.03941823454328192,-2.3059123955749348
0.015001500150015001,-0.059127351814922874,-3.458868593362402
0.020002000200020003,-0.07883646908656385,-4.6118247911498695
0.025002500250025005,-0.0985455863582048,-5.764780988937338
0.030003000300030003,-0.11825470362984575,-6.917737186724804
0.03500350035003501,-0.13796382090148673,-8.070693384512273
0.040004000400040006,-0.1576729381731277,-9.223649582299739
0.045004500450045004,-0.17738205544476862,-10.376605780087209
0.05000500050005001,-0.1970911727164096,-11.529561977874677
0.05500550055005501,-0.21680028998805057,-12.682518175662143
0.060006000600060005,-0.2365094072596915,-13.835474373449609
0.06500650065006501,-0.2562185245313325,-14.988430571237076
0.07000700070007002,-0.27592764180297347,-16.141386769024546
0.075007500750075,-0.29563675907461434,-17.29434296681201
0.08000800080008001,-0.3153458763462554,-18.447299164599478
0.08500850085008502,-0.3350549936178963,-19.60025536238695
0.09000900090009001,-0.35476411088953724,-20.753211560174417
0.09500950095009501,-0.3744732281611782,-21.906167757961885
0.10001000100010002,-0.3941823454328192,-23.059123955749353
0.10501050105010501,-0.4138914627044601,-24.212080153536817
0.11001100110011001,-0.43360057997610113,-25.365036351324285
0.11501150115011502,-0.453309697247742,-26.517992549111757
0.12001200120012001,-0.473018814519383,-27.670948746899217
0.12501250125012503,-0.49272793179102403,-28.823904944686692
0.13001300130013002,-0.512437049062665,-29.976861142474153
0.135013501350135,-0.5321461663343058,-31.129817340261624
0.14001400140014003,-0.5518552836059469,-32.28277353804909
0.14501450145014502,-0.5715644008775879,-33.43572973583656
0.15001500150015,-0.5912735181492287,-34.58868593362402
0.15501550155015503,-0.6109826354208697,-35.741642131411496
0.16001600160016002,-0.6306917526925108,-36.894598329198956
0.16501650165016502,-0.6504008699641516,-38.04755452698643
0.17001700170017003,-0.6701099872357926,-39.2005107247739
0.17501750175017503,-0.6898191045074337,-40.35346692256137
0.18001800180018002,-0.7095282217790745,-41.506423120348835
0.18501850185018504,-0.7292373390507155,-42.6593793181363
0.19001900190019003,-0.7489464563223563,-43.81233551592377
0.19501950195019502,-0.7686555735939974,-44.965291713711224
0.20002000200020004,-0.7883646908656384,-46.118247911498706
0.20502050205020503,-0.8080738081372792,-47.27120410928617
0.21002100210021002,-0.8277829254089202,-48.424160307073635
0.21502150215021504,-0.8474920426805613,-49.57711650486111
0.22002200220022003,-0.8672011599522023,-50.73007270264857
0.22502250225022502,-0.8869102772238432,-51.88302890043604
0.23002300230023004,-0.906619394495484,-53.03598509822351
0.23502350235023503,-0.926328511767125,-54.18894129601098
0.24002400240024002,-0.946037629038766,-55.341897493798434
0.24502450245024504,-0.965746746310407,-56.49485369158591
0.25002500250025006,-0.9854558635820481,-57.647809889373384
0.255025502550255,-1.0051649808536889,-58.800766087160845
0.26002600260026004,-1.02487409812533,-59.953722284948306
0.26502650265026506,-1.044583215396971,-61.10667848273579
0.27002700270027,-1.0642923326686116,-62.25963468052325
0.27502750275027504,-1.0840014499402528,-63.412590878310716
0.28002800280028006,-1.1037105672118939,-64.56554707609818
0.285028502850285,-1.1234196844835347,-65.71850327388564
0.29002900290029004,-1.1431288017551757,-66.87145947167312
0.29502950295029506,-1.1628379190268165,-68.0244156694606
0.3000300030003,-1.1825470362984574,-69.17737186724804
0.30503050305030505,-1.2022561535700984,-70.33032806503553
0.31003100310031007,-1.2219652708417394,-71.48328426282299
0.31503150315031503,-1.2416743881133805,-72.63624046061045
0.32003200320032005,-1.2613835053850215,-73.78919665839791
0.32503250325032507,-1.2810926226566623,-74.9421528561854
0.33003300330033003,-1.3008017399283032,-76.09510905397286
0.33503350335033505,-1.3205108571999442,-77.24806525176032
0.34003400340034007,-1.3402199744715853,-78.4010214495478
0.34503450345034503,-1.359929091743226,-79.55397764733526
0.35003500350035005,-1.3796382090148673,-80.70693384512273
0.35503550355035507,-1.3993473262865082,-81.85989004291021
0.36003600360036003,-1.419056443558149,-83.01284624069767
0.36503650365036505,-1.43876556082979,-84.16580243848513
0.37003700370037007,-1.458474678101431,-85.3187586362726
0.37503750375037503,-1.4781837953730719,-86.47171483406005
0.38003800380038005,-1.4978929126447127,-87.62467103184754
